Agency Name,Address,City,State,Zip Code,Phone Number,Fax,Region Covered,Assisted Living Program 1,Assisted Living Program 2,Assisted Living Program  2E ,Assisted Living Program 3,Vision Rehabilitation,Orientation Mobility ,Social Casework Level 1,Social Casework Level 2,Pre Vocational Young Adults ,Diagnostic Vocational Evaluation,Academic Instruction,Vocational Skills ,Work Readiness,Work Experience,Comprehensive Service Contract,Job Placement Service/DVE Contract,Location
Bronx Independent Living Services,"4419 2rd Street, Suite 2C",Bronxville,NY,10457,718-515-2800,718-515-2844,8,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"4419 2rd Street
Bronxville, NY 10457
"
Catskill Center for Independence,6104 State Highway 23,Oneonta,NY,13820,607-432-8000,607 -432-6907,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"6104 State Highway
Oneonta, NY 13820
"
"J.H. Burnash & Co., UBC",13234 US Rt. 11,Adams Center,NY,13606,315-583-5422,315-583-6340,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"13234 US
Adams Center, NY 13606
"
The Star Group,"2197 Whitney Pt., Lisle Rd.",Whitney Point,NY,13862,607-765-7827,607-849-4925,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"2197 Whitney Pt
Whitney Point, NY 13862
"
Chautauqua Blind Association,510 West Fifth Street,Jamestown,NY,14701,716-664-6660,716-664-1193,1,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,"510 West Fifth Street
Jamestown, NY 14701
(42.096996, -79.248563)"
Center for Disability Services,314 South Manning Boulevard,Albany,NY,12208,518-482-1548 x3501,518-482-1629,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"314 South Manning Boulevard
Albany, NY 12208
(42.654412, -73.806297)"
Northeastern Association of the Blind at Albany,301 Washington Avenue,Albany,NY,12206,518-463-1211,518-436-4194,4,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,"301 Washington Avenue
Albany, NY 12206
(42.658752, -73.76741)"
Nancy Grant d/b/a Regional Career & Employment Services,48 East Street,Honeoye Falls,NY,14472,585-281-2892,n/a,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"48 East Street
Honeoye Falls, NY 14472
(42.952539, -77.588011)"
United Cerebral Palsy Association of New York State,"330 West 34th Street,   15th Floor",New York,NY,10001,718-735-8601,n/a,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"330 West 34th Street
New York, NY 10001
(40.752951, -73.995274)"
Lighthouse International,111 East 59th Street,New York,NY,10022,212-821-9200,212-821-9712,8,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,"111 East 59th Street
New York, NY 10022
(40.762653, -73.969193)"
"Independent Living, Inc.",5 Washington Terrace,Newburgh,NY,12550,845-565-1162,845-565-0567,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"5 Washington Terrace
Newburgh, NY 12550
(41.499615, -74.027458)"
"Arise Child & Family Services, Inc",635 James Street,Syracuse,NY,13203,315-671-2969,315-472-9252,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"635 James Street
Syracuse, NY 13203
(43.054805, -76.143488)"
Association for the Visually Impaired (AVI),260 Old Nyack Turnpike,Spring Valley,NY,10979,845-574-4950,845-574-4944,5,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,"260 Old Nyack Turnpike
Spring Valley, NY 10979
(41.101677, -74.046228)"
"New York City Industries for the Blind, Inc.",3611 14th Avenue,Brooklyn,NY,11218-3750,718-854-7300 x223,718-854-2700,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"3611 14th Avenue
Brooklyn, NY 11218-3750
(40.640688, -73.98263)"
"Capabilities Partnership, Inc","450 West Nyack Road,   Suite 9",West Nyack,NY,10994,845-627-0627 x124,845-627-0629,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"450 West Nyack Road
West Nyack, NY 10994
(41.09606, -73.986522)"
Jewish Guild Healthcare,15 West 65th Street,New York,NY,10023,212-769-6200,212-595-4907,8,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,"15 West 65th Street
New York, NY 10023
(40.772358, -73.980571)"
"Liberty Resources, Inc",1065 James Street,Syracuse,NY,13203,315-425-1004,315-479-7884,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"1065 James Street
Syracuse, NY 13203
(43.060548, -76.131778)"
United Cerebral Palsy of Niagara,9812 Lockport Road,Niagara Falls,NY,14304,716-284-6441,716-285-5760,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"9812 Lockport Road
Niagara Falls, NY 14304
(43.121254, -78.949667)"
Onondaga-Cortland-Madison BOCES,6820 Thompson Road,Syracuse,NY,13221,315-453-4421,315-451-4676,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"6820 Thompson Road
Syracuse, NY 13221
(43.102253, -76.096185)"
Resource Center for Independent Living,"409 Columbia Street,  P.O. Box 210",Utica,NY,13502-0210,315-797-4642,315-797-4747,"3,4",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"409 Columbia Street
Utica, NY 13502-0210
(43.103024, -75.236302)"
"Jawonio, Inc.",260 N. Little Tor Road,New City,NY,10956,845-639-3540,845-639-3539,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"260 N Little Tor Road
New City, NY 10956
(41.163222, -74.004877)"
Andrea Todaro,430 Prospect Avenue,Buffalo,NY,14201,716-883-1793,716-883-1793,"1,2",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"430 Prospect Avenue
Buffalo, NY 14201
(42.899493, -78.888833)"
DRS & Associates,3735 Genesee Street,Buffalo,NY,14224,716-633-7138,716-633-4009,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"3735 Genesee Street
Buffalo, NY 14224
(42.928457, -78.747204)"
Central Association for the Blind & Visually Handicapped,507 Kent Street,Utica,NY,13501,315-797-2233,315-797-2244,3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,"507 Kent Street
Utica, NY 13501
(43.099563, -75.224306)"
"Elizabeth Pierce Olmsted, MD Center for the Visually Impaired",1170 Main Street,Buffalo,NY,14209,716-882-1025,716-882-5577,1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,"1170 Main Street
Buffalo, NY 14209
(42.905454, -78.867895)"
"Aurora of Central New York, Inc","518 James Street,   Suite 100",Syracuse,NY,13203-2282,315-422-7263,315-422-4792,3,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,"518 James Street
Syracuse, NY 13203-2282
(43.053717, -76.14571)"
AVRE,174 Court Street,Binghamton,NY,13901,607-724-2428,607-771-8045,3,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,"174 Court Street
Binghamton, NY 13901
(42.099927, -75.906807)"
North Country Association for the Visually Impaired,"22 US Oval, Suite B-15",Plattsburgh,NY,12903,518-562-2330,518-562-2331,4,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,"22 US Oval
Plattsburgh, NY 12903
(44.684808, -73.446793)"
Southern Tier Independence Center,135 East Frederick Street,Binghamton,NY,13904,607-724-2111 ,607-772-3600,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"135 East Frederick Street
Binghamton, NY 13904
(42.111349, -75.890026)"
"Catholic Charities Community Services, Archdiocese of New York","1011 First Avenue,   6th Floor",New York,NY,10022,212-371-1000,212-421-0021,"6,8",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,"1011 First Avenue
New York, NY 10022
(40.757192, -73.963732)"
"Careers for People with Disabilities, Inc.",401 Columbus Avenue,Valhalla,NY,10595,914-741-8500,914-741-6865,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"401 Columbus Avenue
Valhalla, NY 10595
(41.097342, -73.777614)"
TMT Consulting Corp,39 Sagamore Road,Bronxville,NY,10708,914-793-0738,914-793-1109,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"39 Sagamore Road
Bronxville, NY 10708
(40.944005, -73.832978)"
"The Rehabilitation Institute, Inc.",123B Frost Street,Westbury,NY,11590,516-741-2010 x1003,516-294-3336,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"123B Frost Street
Westbury, NY 11590
(40.760151, -73.553815)"
"Abilities, Inc",201 I.U. Willets Road,Albertson,NY,11507,516-465-1491,516-465-3757,8,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"201 I U Willets Road
Albertson, NY 11507
(40.769505, -73.657552)"
Ability Beyond Disability,120 Mount Kisco Ave,Mount Kisco,NY,10549,203-826-3103,203-826-8256,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"120 Mount Kisco Ave
Mount Kisco, NY 10549
(41.213064, -73.727213)"
"Research Center for Accessible Living, Inc.",727 Ulster Avenue,Kingston,NY,12401,845-331-0541,845-331-2076,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"727 Ulster Avenue
Kingston, NY 12401
(41.949641, -73.994433)"
"Corning Council for Assistance and Information for the Disabled, Inc dba AIM, ILC",271 East First Street,Corning,NY,14830,607-962-8225 ,607-937-5125,"1,2",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"271 East First Street
Corning, NY 14830
(42.139524, -77.043831)"
